"Original Text","Initial","Machine translation","Better translation","Best translation"
"クリア条件1","Objective 1","","",""
"クリア条件","Objective","","",""
"クリア条件2","Objective 2","","",""
"ハコユレ","COMMOTION","","",""
"DIRECTOR","DIRECTOR","","",""
"RANKING","RANKING","","",""
"PAUSE","PAUSE","","",""
"SCORE","SCORE","","",""
"STAR","STAR","","",""
"SYNCHRO","SYNCHRO","","",""
"UNISON","UNISON","","",""
"NORMAL MODE","NORMAL MODE","","",""
"CAM 1","CAM 1","","",""
"CAM 2","CAM 2","","",""
"CAM 3","CAM 3","","",""
"CAM 4","CAM 4","","",""
"FOLLOW MODE","FOLLOW MODE","","",""
"UP CAM","UP CAM","","",""
"MID CAM","MID CAM","","",""
"AUTO CAM","AUTO CAM","","",""
"LONG CAM","LONG CAM","","",""
"予約","Confirm","","",""
"予約解除","Cancel","","",""
"NEXT","NEXT","","",""
"AUTO","AUTO","","",""
"マークライト","Markup Light","","",""
"モニター","Monitor","","",""
"エフェクト","Effects","","",""
"床ギミック","Floor Gimmick","","",""
"上部ギミック","Ceiling Gimmick","","",""
"ワイプ","Clear","","",""
"ライトカラー","Light Color","","",""
"リセット","Reset","","",""
"指定なし","Unspecified","","",""
"未設定","Not Set","","",""
"ガイドON/OFF","Guide ON/OFF","","",""
"歌詞表示ON/OFF","Lyrics ON/OFF","","",""
"フォトモード","Photo Mode","","",""
"カメラアングル","Camera Angle","","",""
"アピール","Appeal","","",""
"ユニゾンチャージ","Unison Charge","","",""
"ユニゾン始動アイドル","Unison Start Idol","","",""
"ユニゾン","Unison","","",""
"クライマックス","Climax","","",""
"思い出","Memory","","",""
"舞台演出","Stage Direction","","",""
"SETTING1","SETTING1","","",""
"SETTING2","SETTING2","","",""
"PRODUCE","PRODUCER","","",""
"UNIT","UNIT","","",""
"ターゲット","Target","","",""
"フォトモード終了","Exit Photo Mode","","",""
"高解像度モード","High Resolution Mode","","",""
"効果・フレームON/OFF","Effects/Frame ON/OFF","","",""
"設定メニュー呼び出し","Open Settings Menu","","",""
"ズームイン","Zoom In","","",""
"ズームアウト","Zoom Out","","",""
"操作切り替え","Switch Modes","","",""
"ロール/ズームリセット","Reset Roll/Zoom","","",""
"前後移動","Forwards/Back Motion","","",""
"左右ロール","Left/Right Rolling","","",""
"移動","Movement","","",""
"回り込み","Wrap Around","","",""
"LIVE CAM","LIVE CAM","","",""
"FREE CAM","FREE CAM","","",""
"彩度","Saturation","","",""
"コントラスト","Contrast","","",""
"影色","Shadow Color","","",""
"背景色","Background Color","","",""
"レンズフレアカラー","Lens Flare Color","","",""
"色","Color","","",""
"色温度","Color Temperature","","",""
"フレア - 色","Flare Color","","",""
"フレア - 強度","Flare Strength","","",""
"全般","General","","",""
"フレア - 大きさ","Flare Size","","",""
"影 - 全体","Shadow - Whole","","",""
"ハイライト","Highlight","","",""
"アイドル","Idol","","",""
"背景","Background","","",""
"絞り値","Aperture","","",""
"焦点位置","Focal Point","","",""
"ボケ量","Bokeh Amount","","",""
"ボケサイズ","Bokeh Size","","",""
"焦点範囲","Focal Range","","",""
"強度","Strength","","",""
"しきい値","Threshold","","",""
"露出補正","Exposure Compensation","","",""
"拡散光 - 大きさ","Diffused Light Size","","",""
"被写界深度","Depth of Field","","",""
"ブルーム - 強度","Bloom Strength","","",""
"ブルーム - しきい値","Bloom Threshold","","",""
"拡散光 - 強度","Diffused Light Intensity","","",""
"大きさ","Size","","",""
"レンズフレア","Lens Flare","","",""
"色収差","Chromatic Aberration","","",""
"ノイズ","Film Grain","","",""
"ビネット","Vignette","","",""
"フレーム名","Frame Name","","",""
"キャラレイヤー","Character Layer","","",""
"背景‐柄","Background Pattern","","",""
"フレーム","Frame","","",""
"フレーム‐柄","Frame Pattern","","",""
"文字1‐影","Character 1 Shadow","","",""
"カテゴリ","Category","","",""
"文字1‐アウトライン","Character 1 Outline","","",""
"文字1","Character 1","","",""
"文字2‐影","Character 2 Shadow","","",""
"文字2‐アウトライン","Character 2 Outline","","",""
"文字2","Character 2","","",""
"ライン1","Line 1","","",""
"ライン2","Line 2","","",""
"ライン3","Line 3","","",""
"文字‐影","Character Shadow","","",""
"文字‐アウトライン","Character Outline","","",""
"文字","Character","","",""
"柄1","Pattern 1","","",""
"柄2","Pattern 2","","",""
"シルエット","Silhouette","","",""
"ベーシック","Basic","","",""
"スタンプ","Stamp","","",""
"アイドル1","Idol 1","","",""
"アイドル2","Idol 2","","",""
"アイドル3","Idol 3","","",""
"全て初期値に戻す","Reset to Defaults","","",""
"透過","Transparency","","",""
"色相","Hue","","",""
"明度","Brightness","","",""
"プリセット","Preset","","",""
"ノワール","Noir","","",""
"セピア","Sepia","","",""
"ビビット","Vivid","","",""
"ルビー","Ruby","","",""
"サファイア","Sapphire","","",""
"アンバー","Amber","","",""
"エメラルド","Emerald","","",""
"クリスタル","Crystal","","",""
"ルミナス","Luminous","","",""
"コミック","Comic","","",""
"PRESET","PRESET","","",""
"FRAME","FRAME","","",""
"COLOR","COLOR","","",""
"DOF","DOF","","",""
"LIGHT","LIGHT","","",""
"LENS FLARE","LENS FLARE","","",""
"EFFECT","EFFECT","","",""
"視点","Perspective","","",""
"距離","Distance","","",""
"カメラ","Camera","","",""
"ＵＩ用テスト00","UI Test 00","","",""
"ＵＩ用テスト01","UI Test 01","","",""
